sentence	option1	option2
When Samantha dropped a glass bowl and broke it, Betty yelled. _ felt frustrated about the bowl.	Samantha	Betty
When Samantha dropped a glass bowl and broke it, Betty yelled. _ felt bad about the bowl.	Samantha	Betty
Claudia bought a dress for the party, but then decided to wear a pantsuit because the _ was comfortable.	pantsuit	dress
Claudia bought a dress for the party, but then decided to wear a pantsuit because the _ was itchy.	pantsuit	dress
He took the treat out of his pocket and placed it in his bag so it wouldn't melt, as the _ was cool inside.	pocket	bag
He took the treat out of his pocket and placed it in his bag so it wouldn't melt, as the _ was warm inside.	pocket	bag
The company sold a comic featuring a world filled with advanced technology and space travel, where the _ made people desire more.	technology	travel
The company sold a comic featuring a world filled with advanced technology and space travel, where the _ led to galactic wars.	technology	travel
Making new friends wasn't easy for Adam while it came easily to Donald because _ was painfully shy.	Adam	Donald
The girl was warned not to touch the pan, but told it was ok to touch the pot, because the _ had cooled.	pan	pot
The girl was warned not to touch the pan, but told it was ok to touch the pot, because the _ had been heated.	pan	pot
Angela prefers to wear skirts while Amy prefers long pants.  _  wears socks.	Angela	Amy
Angela prefers to wear skirts while Amy prefers long pants.  _  wears pantyhose.	Angela	Amy
I want to work for an established company rather than a start up company because I think the _ is more secure.	established company	start up company
I want to work for an established company rather than a start up company because I think the _ is less secure.	established company	start up company
The terms of the work contract suited Joel but not Nelson because _ was committed to working for the company.	Joel	Nelson
The terms of the work contract suited Joel but not Nelson because _ was committed to working for a different company.	Joel	Nelson
Many foods are best eaten from a bowl instead of a plate. The _ is useful when the food is runny and may spill.	bowl	plate
Many foods are best eaten from a bowl instead of a plate. The _ is useful when the food is tough and needs cutting.	bowl	plate
Monica wanted help from Carrie in preparing the saffron potatoes, because _ was tired of doing all the work.	Monica	Carrie
Monica wanted help from Carrie in preparing the saffron potatoes, but _ was tired of being asked for help.	Monica	Carrie
Leslie offered to show Logan where all main spots in town are as _ has lived there for many years.	Leslie	Logan
Leslie offered to show Logan where all main spots in town are as _ has lived there for only days..	Leslie	Logan
Mike wanted to take the cooler on vacation but took the cup instead because the _ had a broken lid.	cooler	cup
Mike wanted to take the cooler on vacation but took the cup instead because the _ had a new lid.	cooler	cup
I decided to use the cabbage instead of the lettuce in my salad since the _ is blander to me.	cabbage	lettuce
I decided to use the cabbage instead of the lettuce in my salad since the _ is tastier to me.	cabbage	lettuce
Laura was quick to compliment their employees for a job well done but Megan was not. _ was not respected by anyone in the company.	Laura	Megan
Laura was quick to compliment their employees for a job well done but Megan was not. _ was well respected by everyone in the company.	Laura	Megan
Felicia hated styrofoam cups and Erin was drinking from one, so _ yelled at him.	Felicia	Erin
Felicia hated styrofoam cups and Erin was drinking from one, so _ hid it from him.	Felicia	Erin
The woman found the jeans were more comfortable than the pants because the _ were stiff.	jeans	pants
The woman found the jeans were more comfortable than the pants because the _ were stretchy.	jeans	pants
She decided to wear skinny jeans to the party instead of cargo pants, though the _ were more comfortable.	skinny jeans	cargo pants
She decided to wear skinny jeans to the party instead of cargo pants, though the _ were more constricting.	skinny jeans	cargo pants
I used the bucket of water to wash the car until the _ was empty.	bucket	car
Bill replaced the chicken bone in his soup with cabbage after it cooked for a couple of hours, the _ was sharp.	bone	cabbage
Bill replaced the chicken bone in his soup with cabbage after it cooked for a couple of hours, the _ was smooth.	bone	cabbage
Lindsey brought her baby to daycare while Betty kept hers at home during the day, _ was a fulltime worker.	Lindsey	Betty
James started to pant on his way to the park, so he branched his friend house and rest because the _ is far.	park	house
James started to pant on his way to the park, so he branched his friend house and rest because the _ is close.	park	house
The young cook poured oil from the container into the fryer until the _ was full.	container	fryer
The young cook poured oil from the container into the fryer until the _ was empty.	container	fryer
The medication failed to treat the disease and doctors were in a panic because the _ was powerless.	disease	medication
The medication failed to treat the disease and doctors were in a panic because the _ was resistant.	disease	medication
The waiter took his tips from the jar and put them in his wallet until the _ was empty.	jar	wallet
The waiter took his tips from the jar and put them in his wallet until the _ was full.	jar	wallet
Donald ate so much food at dinner but Randy didn't touched his food. At the end _ stomach was empty.	Donald	Randy
Donald ate so much food at dinner but Randy didn't touched his food. At the end _ stomach was full.	Donald	Randy
Adams wanted to empty the fish from the pond to the tank but the _ is too big.	tank	pond
Adams wanted to empty the fish from the pond to the tank but the _ is too small.	tank	pond
Since I took the books out of the box and put them into the storage chest, the _ became very light.	box	chest
Since I took the books out of the box and put them into the storage chest, the _ became very heavy.	box	chest
The water in the cup cannot dissolve the whole of the sugar because the _ is too little.	sugar	water
The water in the cup cannot dissolve the whole of the sugar because the _ is too much.	sugar	water
He decided to use a fork instead of a spoon with the bowl of food, because the _ was clean.	spoon	fork
He decided to use a fork instead of a spoon with the bowl of food, because the _ was dirty.	spoon	fork
All of the hipsters were interested in the new shoes from the company but not the jackets because the _ were trendy.	shoes	jackets
All of the hipsters were interested in the new shoes from the company but not the jackets because the _ were tacky.	shoes	jackets
I filled the cups with strawberries but it wasn't large enough.  The _ were too small.	strawberries	cups
I filled the cups with strawberries but it wasn't large enough.  The _ were too large.	strawberries	cups
The water in the cup still steam and James blew some air into it. The _ is cold.	water	air
The water in the cup still steam and James blew some air into it. The _ is hot.	water	air
The woman tried to put the plant into the pot but the _ was too large.	plant	pot
The woman tried to put the plant into the pot but the _ was too small.	plant	pot
The teacher took students off of the playground and put them on the bus until the _ was full.	playground	bus
The teacher took students off of the playground and put them on the bus until the _ was empty.	playground	bus
In the mountains of Japan, Erin sought physical training from Amy because _ was a master ninja.	Erin	Amy
In the mountains of Japan, Erin sought physical training from Amy because _ was a protege.	Erin	Amy
Carl tripped into a puddle of water, got his jodhpurs wet, needed some dry leggings, and decided on yoga pants. He put on the _ because they are dry.	jodhpurs	yoga pants
Carl tripped into a puddle of water, got his jodhpurs wet, needed some dry leggings, and decided on yoga pants. He took off the _ because they are wet.	jodhpurs	yoga pants
I removed the water from the pool into the ditch until the _ was empty.	pool	ditch
I removed the water from the pool into the ditch until the _ was full.	pool	ditch
I started moving the lint from the dryer to the trashcan until the _ was empty.	dryer	trashcan
I started moving the lint from the dryer to the trashcan until the _ was full.	dryer	trashcan
The husband poured the rice from the bag into the rice cooking bowl until the _ was empty.	bag	bowl
The husband poured the rice from the bag into the rice cooking bowl until the _ was full.	bag	bowl
Mary poured the entire bottle of nail polish in to a paint bowl until the _ was empty.	bottle	bowl
Mary poured the entire bottle of nail polish in to a paint bowl until the _ was full.	bottle	bowl
During the brewing process, the pots were on the stove and the bottles were in the fridge, so the _ were colder.	bottles	pots
During the brewing process, the pots were on the stove and the bottles were in the fridge, so the _ were hotter.	bottles	pots
The woman scrubbed the pan with steel wool then wiped the pot out with a cloth, because the _ was already clean.	pan	pot
The woman scrubbed the pan with steel wool then wiped the pot out with a cloth, because the _ was filthy.	pan	pot
The process of putting the box on the shelf didn't work because the _  was too small.	shelf	box
The process of putting the box on the shelf didn't work because the _  was too big.	shelf	box
Kevin's swamp Hibiscus was thriving whereas Matthew's wasn't because _ didn't have a sunny boggy spot outdoors for it.	Kevin	Matthew
Kevin's swamp Hibiscus was thriving whereas Matthew's wasn't because _ had a sunny boggy spot outdoors for it.	Kevin	Matthew
I tried to pour the alcohol into one bottle, but it wouldn't all go in because the _ was so much.	alcohol	bottle
I tried to pour the alcohol into one bottle, but it wouldn't all go in because the _ was so small.	alcohol	bottle
James cannot get the lid of the boxes closed after arranging the toys in it. The _ are many.	toys	boxes
James cannot get the lid of the boxes closed after arranging the toys in it. The _ are small.	toys	boxes
My cousin decided to use the pot and not the pan because the _ was shallow.	pot	pan
My cousin decided to use the pot and not the pan because the _ was deep.	pot	pan
John has hypothermia and is near a cabin and an outhouse. He went into the _ to relieve himself.	cabin	outhouse
John has hypothermia and is near a cabin and an outhouse. He went into the _ to warm up.	cabin	outhouse
John could not find a good spot to place the chair on the lawn without falling, hence he returned it to the pavement because the _ is even.	lawn	pavement
John could not find a good spot to place the chair on the lawn without falling, hence he returned it to the pavement because the _ is uneven.	lawn	pavement
The stomach of Carrie is growling, but Rachel's feels very full. _ must be hungry.	Carrie	Rachel
The stomach of Carrie is growling, but Rachel's feels very full. _ must be satiated.	Carrie	Rachel
The girl was trying to put the book in the bookbag. The _ would not fit in the bookbag on the table.	book	bookbag
The girl was trying to put the book in the bookbag. The book would not fit in the _ on the table.	book	bookbag
There was no money in the safe, and plenty in the lock box, because the _ had been robbed.	safe	lock box
There was no money in the safe, and plenty in the lock box, because the _ had been secured.	safe	lock box
I had no more room to put the water in the bucket because the _ was too full.	bucket	water
The young magician was able to lock the assistant in the box but couldn't use the key to open it because the _ was fine.	box	key
The young magician was able to lock the assistant in the box but couldn't use the key to open it because the _ was lost.	box	key
John poured hot chicken soup from the bottle into the pot until the _ was bare.	bottle	pot
John poured hot chicken soup from the bottle into the pot until the _ was overflowing.	bottle	pot
James can never know what was written on the envelope in the box because just the _ is hidden.	box	envelope
James can never know what was written on the envelope in the box because just the _ is visible.	box	envelope
Jessica washed and dried Laura's pots and pans because _  borrowed them to cook dinner.	Jessica	Laura
Jessica washed and dried Laura's pots and pans since _ lent them to cook dinner.	Jessica	Laura
The new paint  won't fit in the box because the _ is too short.	paint	box
The new paint  won't fit in the box because the _ is too tall.	paint	box
While packing for hunting Chris made sure to bring his bag and not his knife because the _ was essential.	bag	knife
While packing for hunting Chris made sure to bring his bag and not his knife because the _ was nonessential.	bag	knife
Neil used Kenneth's iron to press their pants, because _ told them that it was harder to hang them.	Neil	Kenneth
Neil used Kenneth's iron to press their pants, but _ thought that it was easier to hang them.	Neil	Kenneth
The dancer tried to put the skirt into the bag but the _ was too small.	bag	skirt
The dancer tried to put the skirt into the bag but the _ was too large.	bag	skirt
Benjamin enjoyed reading classical literature more than Joel because _ had a shorter attention span.	Benjamin	Joel
Benjamin enjoyed reading classical literature more than Joel because _ had a longer attention span.	Benjamin	Joel
The diner paid a lower tax than the catering company because the _ had more business.	diner	catering company
The diner paid a higher tax than the catering company because the _ had more business.	diner	catering company
Monica needed an extra cup of coffee that morning, unlike Jennifer, because _ had slept well the night before.	Monica	Jennifer
Monica needed an extra cup of coffee that morning, unlike Jennifer, because _ had slept poorly the night before.	Monica	Jennifer
I was hungry and I put the pork chop on the pan because the _ was warm.	pork chop	pan
I was hungry and I put the pork chop on the pan because the _ was cold.	pork chop	pan
Jeffrey loves to drink coffee every morning but Ian does not. _ orders a cup of coffee with their breakfast.	Jeffrey	Ian
Jeffrey loves to drink coffee every morning but Ian does not. _ orders a cup of milk with their breakfast.	Jeffrey	Ian
Benjamin wanted to ask to borrow the antique bowl from Dennis but _ didn't have it.	Benjamin	Dennis
Benjamin wanted to ask to borrow the antique bowl from Dennis but _ didn't have the nerve to.	Benjamin	Dennis
She wanted to park her SUV into the small parking spot but the _ was too small.	parking spot	SUV
She wanted to park her SUV into the small parking spot but the _ was too big.	parking spot	SUV
The food was taken out of the box and put in a bag, since it would proceed to freeze well in the _ .	box	bag
The food was taken out of the box and put in a bag, since it would fail to freeze well in the _ .	box	bag
After Jessica found the injured squirrel she decided to put it in a cage instead of a shoe box, because the _ was smaller.	cage	shoe box
After Jessica found the injured squirrel she decided to put it in a cage instead of a shoe box, because the _ was larger.	cage	shoe box
The woman tried to store the knobs in the boxes but the _ were too large.	boxes	knobs
The woman tried to store the knobs in the boxes but the _ were too small.	boxes	knobs
The CEO of the company replaced the lunch room with a game room for employees, the _ was trendy.	lunch room	game room
The CEO of the company replaced the lunch room with a game room for employees, the _ was old.	lunch room	game room
The garlic fell out of the bowl, but stayed put in the basket because the _ was intact.	bowl	basket
The garlic fell out of the bowl, but stayed put in the basket because the _ was broken.	bowl	basket
With his rifle he could shoot the jar but not the bottle , although the _ was an easier target .	jar	bottle
With his rifle he could shoot the jar but not the bottle , although the _ was a harder target .	jar	bottle
Natalie helped Monica to make a plastic bag holder, because _ was new to crafting.	Natalie	Monica
Natalie helped Monica to make a plastic bag holder, because _ was practiced at crafting.	Natalie	Monica
Dennis helped Kevin to save money by telling him how to file a lawsuit in small claims court by himself, _ is full of frugal living tips.	Dennis	Kevin
Jame cannot carry the bag given to him and he agreed to carry the box instead. The _ is heavy.	bag	box
Jame cannot carry the bag given to him and he agreed to carry the box instead. The _ is light.	bag	box
Growing the tomatoes proved easier, than growing the potatoes. The _ must be better suited to the climate.	tomatoes	potatoes
Growing the tomatoes proved easier, than growing the potatoes. The _ must be worse suited to the climate.	tomatoes	potatoes
Tanya wants to grow dahlias in a pot so she asks her friend Katrina if she wants to join her, because _ doesn't want to do it herself.	Tanya	Katrina
Tanya wants to grow dahlias in a pot so she asks her friend Katrina if she wants to join her, so _ accepts her offer.	Tanya	Katrina
I definitely preferred the bowls to the plates because the _ could hold less food.	bowls	plates
I definitely preferred the bowls to the plates because the _ could hold more food.	bowls	plates
Eric thought the power of crystals was hokey but Logan fully believed. _ accepted the faith healers prognosis.	Eric	Logan
Eric thought the power of crystals was hokey but Logan fully believed. _ ignored the faith healers prognosis.	Eric	Logan
Mary is the boss of Megan in a tech company located in Silicon Valley. _ makes more money than the other.	Mary	Megan
Mary is the boss of Megan in a tech company located in Silicon Valley. _ makes less money than the other.	Mary	Megan
The new medications that were bought over the counter don't fit in the bottles because the _ are too small.	bottles	medications
The new medications that were bought over the counter don't fit in the bottles because the _ are too big.	bottles	medications
Julie wanted to go to the movie instead of the bowling alley because the _ was not romantic.	bowling alley	movie
Julie wanted to go to the movie instead of the bowling alley because the _ was quite romantic.	bowling alley	movie
Lindsey borrowed Kayla's mascara because ( _ ) forgot to put her mascara into her make up bag.	Lindsey	Kayla
Lindsey lent Kayla her mascara because ( _ ) forgot to put her mascara into her make up bag.	Lindsey	Kayla
While making Easter eggs, Kayla ate a bunch of the eggs while Jennifer didn't eat any. _ was full.	Kayla	Jennifer
Jill poured the entire bag of barley into the hot pan on the stove until the _ was full.	bag	pan
Jill poured the entire bag of barley into the hot pan on the stove until the _ was empty.	bag	pan
The healthy apples were discarded in favor of the fattening cupcakes, as the _ were delicious to eat.	apples	cupcakes
The healthy apples were discarded in favor of the fattening cupcakes, as the _ were gross to eat.	apples	cupcakes
The potato dish was better than the cabbage dish because the _ was seasoned better.	potato dish	cabbage dish
The potato dish was better than the cabbage dish because the _ was very bland.	potato dish	cabbage dish
I tried to kick the bags with my legs, but I couldn't because the _ were too high.	bags	legs
I tried to kick the bags with my legs, but I couldn't because the _ were too short.	bags	legs
Vincent wanted to boil water for the spaghetti in a kettle instead of a pot because he thought the _ was cleaner.	pot	kettle
Vincent wanted to boil water for the spaghetti in a kettle instead of a pot because he thought the _ was rusty.	pot	kettle
Roger liked to french fry potatoes in sunflower oil instead of canola oil because the _ oil had a stronger flavor profile.	sunflower	canola
Roger liked to french fry potatoes in sunflower oil instead of canola oil because the _ oil had a weaker flavor profile.	sunflower	canola
We put the plant into a pot instead of in the ground outside, and this was because the _ was fitting.	pot	ground
We put the plant into a pot instead of in the ground outside, and this was because the _ was unfit.	pot	ground
Lawrence found Matthew 's company to be a treat lately, as _ was usually without friends.	Lawrence	Matthew
Lawrence found Matthew 's company to be a treat lately, as _ was usually with friends.	Lawrence	Matthew
Bill poured the entire bag of cabbage into the salad bowl until the _ was empty.	bag	bowl
Bill poured the entire bag of cabbage into the salad bowl until the _ was full.	bag	bowl
We tried moving the merchandise, but the boxes would not fit into the cars since the _ were robust.	boxes	cars
We tried moving the merchandise, but the boxes would not fit into the cars since the _ were compact.	boxes	cars
Mike's goldfish likes the bowl more than the aquarium because he prefers the tininess of the _ .	bowl	aquarium
Mike's goldfish likes the bowl more than the aquarium because he dislikes the vastness of the _ .	bowl	aquarium
She hates wearing pants but loves wearing dresses, because she feels less beautiful in the _ .	pants	dresses
She hates wearing pants but loves wearing dresses, because she feels more beautiful in the _ .	pants	dresses
The store had a sale on birdseed, so Kyle picked up a big bag, although Randy was annoyed. _ considered feeding wildlife a good use of money.	Kyle	Randy
The store had a sale on birdseed, so Kyle picked up a big bag, although Randy was annoyed. _ considered feeding wildlife a big waste of money.	Kyle	Randy
Sarah could not get the jasmine to fit in the pot because the _ was too small.	pot	jasmine
Sarah could not get the jasmine to fit in the pot because the _ was too big.	pot	jasmine
The gardener wanted to store the flowers in the pots but the _ were too small.	flowers	pots
The gardener wanted to store the flowers in the pots but the _ were too large.	flowers	pots
Joseph woke up early to fill Lawrence's spot at work on Monday because _ owed him a favor.	Joseph	Lawrence
Joseph woke up early to fill Lawrence's spot at work on Monday because _ was sick that day.	Joseph	Lawrence
The pepperoni pizza didn't fit in the cardboard box because the _ was too large.	pizza	cardboard box
The pepperoni pizza didn't fit in the cardboard box because the _ was too small.	pizza	cardboard box
Barbie poured the entire bowl of hot water into the tea cup until the _ was full.	bowl	cup
Barbie poured the entire bowl of hot water into the tea cup until the _ was empty.	bowl	cup
The man tried to store the shoes inside the boxes but the _ were too small.	boxes	shoes
The man tried to store the shoes inside the boxes but the _ were too large.	boxes	shoes
Emily brought her newly single friend, Jennifer, a huge box of chocolate with a ribbon on it because _ needed to cheer up.	Emily	Jennifer
Emily brought her newly single friend, Jennifer, a huge box of chocolate with a ribbon on it because _ thought is would cheer her up.	Emily	Jennifer
Elena is a fight manager, Rebecca is a gardener therefore _ may not know how to wrap boxers' hands.	Elena	Rebecca
Elena is a fight manager, Rebecca is a gardener therefore _ knows how to wrap boxers' hands.	Elena	Rebecca
Derrick panics a lot more than Eric because _ had a lot of amazing things happen in his life.	Derrick	Eric
Derrick panics a lot more than Eric because _ had a lot of horrible things happen in his life.	Derrick	Eric
The assets were more protected by the bank than the insurance company because the _ had more money.	bank	insurance company
The assets were more protected by the bank than the insurance company because the _ had less money.	bank	insurance company
Adam was sick and tired of Jeffrey's management of the company, because _ was always being victimized.	Adam	Jeffrey
Adam was sick and tired of Jeffrey's management of the company, because _ was always being inappropriate.	Adam	Jeffrey
My French teachers method was a lot easier than my Spanish teachers technique, because the _ was practical.	method	technique
My French teachers method was a lot easier than my Spanish teachers technique, because the _ was impractical.	method	technique
When negotiating a contract, Don asked for a company car instead of window office to be included because he is in need of the _ much less.	car	office
When negotiating a contract, Don asked for a company car instead of window office to be included because he is in need of the _ much more.	car	office
Monica loved to eat potato chips but not Cynthia so _ had a very flat belly.	Monica	Cynthia
Monica loved to eat potato chips but not Cynthia so _ had a very flabby belly.	Monica	Cynthia
The growing fern was taken out of the pot and put in the garden, as the _ lacked room for it.	pot	garden
The growing fern was taken out of the pot and put in the garden, as the _ possessed room for it.	pot	garden
The cook tried to put the bagels in the cases but the _ were too large.	cases	bagels
The cook tried to put the bagels in the cases but the _ were too small.	cases	bagels
Shane poured the entire bottle of drinking alcohol down his mouth until the _ was empty.	bottle	mouth
Shane poured the entire bottle of drinking alcohol down his mouth until the _ was full.	bottle	mouth
In preparation for the meeting the company ordered labels and left out pens because the _ were accounted for.	labels	pens
In preparation for the meeting the company ordered labels and left out pens because the _ were necessary.	labels	pens
The CEO was working with a new intern, and the intern had accidentally spilled coffee on the CEO’s clothing. Now the _ is empty..	clothing	coffee
Samantha was able to successfully breed and sell several pairs of lovebirds but Sarah could not, because _ was good at handling animals.	Samantha	Sarah
Samantha was able to successfully breed and sell several pairs of lovebirds but Sarah could not, because _ was unskilled at handling animals.	Samantha	Sarah
At school on Monday, Adam put the book in his backpack instead of the locker because the _ was too full.	locker	backpack
Maria was full of all sorts of creative ideas that Rebecca didn't like, so _ had a more positive sense of creation.	Maria	Rebecca
Maria was full of all sorts of creative ideas that Rebecca didn't like, so _ had a more critical sense of creation.	Maria	Rebecca
Justin boasted to Aaron that he was going to play hockey without wearing an athletic cup.  _ was cocky.	Justin	Aaron
Justin boasted to Aaron that he was going to play hockey without wearing an athletic cup.  _ was dumbfounded.	Justin	Aaron
The sales clerk tried to put the decorative plate in the box but it wouldn't fit; the _ was too large.	plate	box
The sales clerk tried to put the decorative plate in the box but it wouldn't fit; the _ was too small.	plate	box
When we dissolved our partnership, Bill took my stapler and my garbage bin; the joke's on him because the _ was full when he took it.	stapler	bin
When we dissolved our partnership, Bill took my stapler and my garbage bin; the joke's on him because the _ was empty when he took it.	stapler	bin
Adam had more Japanese friends than Indian friends because he spent more years in the _ cities while growing up.	Japanese	Indian
Adam had more Japanese friends than Indian friends because he spent less years in the _ cities while growing up.	Japanese	Indian
Eric made a huge investment into the new company but Steven didn't because _ was poor.	Eric	Steven
Eric made a huge investment into the new company but Steven didn't because _ was rich.	Eric	Steven
The company that I work for today is better than the job I worked last year, because the _ has many benefits.	company	job
The company that I work for today is better than the job I worked last year, because the _ had few benefits.	company	job
The gardener wanted to throw the excess vines in the bags but the _ were too large.	bags	vines
The gardener wanted to throw the excess vines in the bags but the _ were too small.	bags	vines
Steven ate all the squash before William could get any, so _ had an empty belly that night.	Steven	William
Steven ate all the squash before William could get any, so _ had a full belly that night.	Steven	William
The gardener poured gasoline from the container into the lawnmower's gas tank until the _ was empty.	tank	container
The gardener poured gasoline from the container into the lawnmower's gas tank until the _ was full.	tank	container
It was a sunny day and Jan was at the pool. She had to put on lotion instead of sunscreen because the _ was in her bag.	lotion	sunscreen
She had to strip off the clothes because her pants had poison ivy on it, but the shoes were fine, so the _ were soon washed.	pants	shoes
She had to strip off the clothes because her pants had poison ivy on it, but the shoes were fine, so the _ were soon put back on.	pants	shoes
She picked many juicy plums and poured all the plums from the box into the jar until the _ was empty.	box	jar
She picked many juicy plums and poured all the plums from the box into the jar until the _ was full.	box	jar
Rachel did not tell Katrina why she buried the box in the soil because _ was being nosy.	Rachel	Katrina
Rachel did not tell Katrina why she buried the box in the soil because _ was being secretive.	Rachel	Katrina
He put the dollar bill in the drawer instead of his pocket, because the _ was the least expected hiding spot.	drawer	pocket
He put the dollar bill in the drawer instead of his pocket, because the _ was the most expected hiding spot.	drawer	pocket
Tiffany's back could bend in a full range of motion but her knee could not. The _ was less flexible.	back	knee
Tiffany's back could bend in a full range of motion but her knee could not. The _ was more flexible.	back	knee
Nick thinks that a guinea pig is a good pet but Hunter doesn't. _ went to the pet store and bought a potbelly pig.	Nick	Hunter
Natalie never checks the air in the tires while Tanya does and you just knew _ would have full tires.	Natalie	Tanya
Blood was collected in bags and transferred to jars in the truck, as the _ were more difficult to transport.	bags	jars
Blood was collected in bags and transferred to jars in the truck, as the _ were more easy to transport.	bags	jars
Joseph went to the shed and poured the water from the bucket into the cart until the _ was full.	bucket	cart
Joseph went to the shed and poured the water from the bucket into the cart until the _ was empty.	bucket	cart
Jennifer took food from the bag and put it in the pantry until the _ was empty.	pantry	bag
Jennifer took food from the bag and put it in the pantry until the _ was full.	pantry	bag
Cynthia made a 4 batches of cupcakes and asked Sarah to help with the decorating them because _ never decorated cupcakes before.	Cynthia	Sarah
Cynthia made a 4 batches of cupcakes and asked Sarah to help with the decorating them because _ frequently decorated cupcakes before.	Cynthia	Sarah
Jessica started growing roses in a container and asked if Katrina wants to join her, because _ needed company.	Jessica	Katrina
Kyle enjoyed his caffeine in the morning while Lawrence couldn't handle it so _ had a large cup of coffee every morning.	Kyle	Lawrence
Kyle enjoyed his caffeine in the morning while Lawrence couldn't handle it so _ had a large cup of water every morning.	Kyle	Lawrence
The cupcakes that my mom made could not fit on the shelves, because the _ were too many.	shelves	cupcakes
The cupcakes that my mom made could not fit on the shelves, because the _ were too few.	shelves	cupcakes
The cactus poked William when Justin pushed them into it, so _ was full of holes.	William	Justin
The cactus poked William when Justin pushed them into it, so _ was full of guilt.	William	Justin
The musician liked hearing audio from the speakers instead of the headphones, because the _ gave a full sound.	speakers	headphones
Chris wore the leotard under the pants because the _ fit more loosely against the curves of her legs.	leotard	pants
Chris wore the leotard under the pants because the _ fit more tightly against the curves of her legs.	leotard	pants
He shoveled manure from the cage and put it in the wheelbarrow until the _ was full.	cage	wheelbarrow
He shoveled manure from the cage and put it in the wheelbarrow until the _ was empty.	cage	wheelbarrow
Maria assisted new employee Megan, because _ was the safety manager for the central company storage warehouse.	Maria	Megan
Maria assisted new employee Megan, because _ needed safety equipment from the central company storage warehouse.	Maria	Megan
Christine played spin the bottle and had to kiss Betty after their turn, because _ was the the one who spun the bottle.	Christine	Betty
Christine played spin the bottle and had to kiss Betty after their turn, because _ was the the one who got picked by the bottle.	Christine	Betty
Before leaving on the trip, Jennifer asked if she could borrow a bag from Kayla, because _ had an extra one.	Jennifer	Kayla
Before leaving on the trip, Jennifer asked if she could borrow a bag from Kayla, because _ needed an extra one.	Jennifer	Kayla
There were more flies around the garbage than near the flowers because the _ smelled good.	flowers	garbage
There were more flies around the garbage than near the flowers because the _ smelled rotten.	flowers	garbage
I could not find any lillies to put in my gardens because the _ were very full already.	lillies	gardens
Donald made a huge bowl filled with rainbow popcorn for Joseph, because _ loves eating popcorn.	Donald	Joseph
Donald made a huge bowl filled with rainbow popcorn for Joseph, because _ loves making others happy.	Donald	Joseph
The worker tried to store the tool in the box but the _ was too large.	tool	box
The worker tried to store the tool in the box but the _ was too small.	tool	box
James was trying to fit the box in a space of the platform but he could not because the _ is large.	box	space
James was trying to fit the box in a space of the platform but he could not because the _ is small.	box	space
James found out some particles when cooking water in the pot but did not find any when cooking oil. The _ is contaminated.	water	oil
James found out some particles when cooking water in the pot but did not find any when cooking oil. The _ is clean.	water	oil
Preparing to clean his gun, Shelby checked the chamber for a bullet and found the _ to be empty, so he proceeded.	bullet	chamber
Brett gleefully told Adam that he had just gotten his confidence back.  _ was relieved for him.	Brett	Adam
Brett gleefully told Adam that he had just gotten his confidence back.  _ was well.	Brett	Adam
Megan always saved more money shopping than Patricia did, since _ could never spot a great deal .	Megan	Patricia
Megan always saved more money shopping than Patricia did, since _ could always spot a great deal .	Megan	Patricia
Amy thinks dates are a sweet tasty treat but Laura does not. _ bought a big bag of dates from the grocery store.	Amy	Laura
Amy thinks dates are a sweet tasty treat but Laura does not. _ bought a big bag of chips from the grocery store.	Amy	Laura
The workers moved their vehicles from the outdoor parking lot into the covered garage until the _ was empty.	garage	lot
The workers moved their vehicles from the outdoor parking lot into the covered garage until the _ was full.	garage	lot
Bill emptied the bowl of cut chicken into the hot pan until the _ was empty.	bowl	pan
Bill emptied the bowl of cut chicken into the hot pan until the _ was full.	bowl	pan
Gary decided to ignore the pain and lift the weight a few more times before getting his water bottle, but the _ was tempting to him.	bottle	weight
Gary decided to ignore the pain and lift the weight a few more times before getting his water bottle, because the _ was a challenge to him.	bottle	weight
Elena made a better wife than Mary did because _ was a trustworthy companion to her husband.	Elena	Mary
The chef added water to the mixture from the cup until the _ was smooth.	mixture	cup
The chef added water to the mixture from the cup until the _ was empty.	mixture	cup
My wife couldn't fit all of the money in her purse because the _ was already full.	purse	money
I tried to transfer the alcohol to the bottle, but it didn't fit because the _ was too little.	alcohol	bottle
I tried to transfer the alcohol to the bottle, but it didn't fit because the _ was too much.	alcohol	bottle
The pancakes were sticking to the skillet, so she switched to a saucepan. The _ had a rougher cooking surface.	skillet	saucepan
The pancakes were sticking to the skillet, so she switched to a saucepan. The _ had a smoother cooking surface.	skillet	saucepan
James washed his hand inside the big bowl after eating and got the _ dirty.	bowl	hand
James washed his hand inside the big bowl after eating and got the _ clean.	bowl	hand
Spanish is the native language of Lawrence but not Michael, because _ grew up in an Asian community.	Lawrence	Michael
Spanish is the native language of Lawrence but not Michael, because _ grew up in a Hispanic community.	Lawrence	Michael
The woman took a duffle bag on her short flight instead of a suitcase because the _ was more convenient.	duffle bag	suitcase
The woman took a duffle bag on her short flight instead of a suitcase because the _ was inconvenient.	duffle bag	suitcase
The goldfish were finally removed from the bag and transferred into the tank, as the _ was a permanent home for them.	bag	tank
The goldfish were finally removed from the bag and transferred into the tank, as the _ was a temporary home for them.	bag	tank
William helped the stranger lift the box instead of Jason because _ is a lot weaker than stronger.	William	Jason
William helped the stranger lift the box instead of Jason because _ is a lot stronger than weaker.	William	Jason
